PLAYER,POS,TEAM,GAME,FP,DK,FD,PROJ,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP
Moses Moody,SG,GS,GS@SA,15.4,17.5,16.9,1,9.7,23,3.3,7.4,1.3,2.6,1.9,0.7,0.4,0.7,0.5,1.6,0.81,0.45
Moussa Diabate,PF,CHA,CHA@NO,15.2,18.6,18,1,6.7,16,2.8,4.7,1,6,3.4,2.6,0.6,1.1,1.2,1,0.59,0.6
DaQuan Jeffries,SF,CHA,CHA@NO,15.1,18.3,17.9,1,8.8,23,3.3,8.3,1.4,3,2.2,0.8,0.8,0.9,1.2,0.6,0.81,0.4
Ja`Kobe Walter,SG,TOR,TOR@PHI,15.1,17.3,16.2,1,8.7,21,3.1,7.7,1.6,3.4,2.2,1.2,0.2,0.8,1.2,1.5,0.8,0.4
Tidjane Salaun,PF,CHA,CHA@NO,14.7,17.6,16.2,1,7.2,19,2.3,6.6,1.4,4.9,3.6,1.3,0.3,0.8,1.4,1.4,0.73,0.35
Kevon Looney,C,GS,GS@SA,14.4,16.5,15.8,1,4.6,17,1.9,3.4,1.6,5.9,3.7,2.2,0.5,0.6,0.5,0.8,0.58,0.56
Quinten Post,C,GS,GS@SA,14.3,16.8,15.7,1,8,17,2.9,6.2,1.3,3.5,2.7,0.7,0.6,0.4,0.7,0.4,0.77,0.47
Delon Wright,PG,NY,POR@NY,14.2,15.2,15.1,1,4.8,17,1.7,4.2,3.2,2.4,1.6,0.8,0.2,1.1,0.7,0.7,0.75,0.41
Keion Brooks Jr.,SF,NO,CHA@NO,14,16.4,15.5,1,8.8,16,3.2,7.2,1.2,2.7,2.4,0.3,0.4,0.7,1,0.7,0.65,0.44
Buddy Hield,SG,GS,GS@SA,14,16.1,15,1,8.5,18,3,7,1.5,2.4,2,0.5,0.2,0.7,0.8,0.6,0.84,0.43
Cody Martin,SF,PHO,HOU@PHO,13.9,15.8,15.6,1,6.1,20,2.3,4.9,2,3.2,2.7,0.5,0.4,0.9,0.7,0.7,0.68,0.47
Royce O`Neale,PF,PHO,HOU@PHO,13.7,15.7,14.6,1,6.3,20,2.2,5,1.8,3.4,3,0.4,0.4,0.6,0.7,0.3,0.74,0.44
Ryan Rollins,SG,MIL,ATL@MIL,13.5,15.5,15.2,1,6.7,17,2.5,5.1,2.1,2.5,1.9,0.5,0.5,0.9,1.2,0.7,0.79,0.49
Terance Mann,SF,ATL,ATL@MIL,13.3,14.7,13.9,1,6.9,19,2.7,5.5,1.6,3,2,1,0.2,0.5,0.5,0.7,0.75,0.49
Grayson Allen,SG,PHO,HOU@PHO,13,14.8,13.9,1,7.5,20,2.5,5.4,1.6,2.2,1.8,0.4,0.3,0.6,0.7,0.9,0.84,0.46
Josh Okogie,SG,CHA,CHA@NO,12.9,16,16,1,7,16,2.3,5.6,1.1,3.1,1.7,1.4,0.4,1.4,1.2,1.5,0.73,0.41
Bismack Biyombo,C,SA,GS@SA,12.8,15.8,15.5,1,4.8,17,2.1,3.4,1.3,4.9,3.6,1.3,1.3,0.4,1.1,0.6,0.48,0.62
AJ Green,SG,MIL,ATL@MIL,11.8,13.5,12.3,1,6.6,22,2.2,5.2,1.6,2.2,2,0.2,0.1,0.5,0.7,0.3,0.83,0.42
Isaiah Stewart,C,DET,DET@MIN,11.8,14.1,13.6,1,5.1,18,2.1,3.9,1.1,4.1,3,1.1,0.9,0.3,0.8,0.7,0.74,0.54
Mouhamed Gueye,PF,ATL,ATL@MIL,11.8,14.6,15,1,5.4,16,1.9,5,0.7,3.4,2.6,0.9,0.9,0.9,0.3,0.9,0.81,0.38
AJ Lawson,SG,TOR,TOR@PHI,11.6,13.3,12.2,1,7,15,2.5,5.9,0.8,2.9,2.3,0.6,0.2,0.3,0.5,0.9,0.65,0.42
Mason Plumlee,C,PHO,HOU@PHO,11.6,13.2,12.3,1,4,15,1.5,2.3,1.5,4.6,3.5,1.1,0.4,0.3,0.7,0.9,0.62,0.65
Landry Shamet,PG,NY,POR@NY,11.2,12.5,11.7,1,7,17,2.5,6,1.3,1.5,1.2,0.3,0.1,0.5,0.6,0.6,0.77,0.42
Sandro Mamukelashvili,C,SA,GS@SA,11.1,12.7,11.8,1,6.1,11,2.2,4.2,1,2.8,1.8,0.9,0.3,0.3,0.4,0.6,0.7,0.52
Nickeil Alexander-Walker,SG,MIN,DET@MIN,11,12.5,11.9,1,5.9,18,2.1,5,1.6,1.9,1.5,0.4,0.3,0.5,0.8,0.7,0.78,0.42
Antonio Reeves,SG,NO,CHA@NO,10.9,12.8,12.1,1,8,12,3,5.7,0.8,1.3,0.9,0.4,0.1,0.7,0.9,0.5,0.78,0.53
Charles Bassey,C,SA,GS@SA,10.9,13.4,13.1,1,4.6,11,2,3.2,0.8,4.3,2.9,1.4,0.9,0.4,0.8,0.6,0.64,0.63
Alex Reese,PF,PHI,TOR@PHI,10.8,14.1,13.9,1,5.5,16,2,4,0.3,3.8,3.3,0.5,0.6,0.9,0.7,0.5,0.75,0.5
Steven Adams,C,HOU,HOU@PHO,10.4,12.2,11.2,1,3.4,14,1.4,2.5,1.2,4.6,2.5,2.1,0.4,0.4,0.7,0.7,0.45,0.56
Cam Whitmore,SF,HOU,HOU@PHO,9.4,10.9,10.2,1,6.2,12,2.2,5.3,0.5,2,1.5,0.4,0.2,0.4,0.4,0.9,0.73,0.41
Duop Reath,C,POR,POR@NY,9.3,10.9,10.4,1,5.3,14,1.9,4.4,0.7,2.3,1.5,0.8,0.4,0.3,0.5,0.6,0.85,0.43
Blake Wesley,SG,SA,GS@SA,9.2,9.8,9.4,1,3.9,12,1.4,3.4,2.3,1.2,0.9,0.3,0.1,0.6,1.1,0.6,0.64,0.41
Bol Bol,C,PHO,HOU@PHO,9,10.8,10.3,1,5.1,11,2,3.7,0.5,2.6,2.2,0.4,0.6,0.2,0.5,0.4,0.78,0.54
Gui Santos,SF,GS,GS@SA,8.8,10,9.2,1,4.1,13,1.5,2.8,1.1,2.6,1.7,0.9,0.2,0.3,0.5,0.5,0.71,0.54
